2019-09-09 17:37:18,910 INFO <module> :Start solver w/o CV
2019-09-09 17:43:13,052 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 250/1000,  L: 2.143589, cost: 0.130990, cost_chiquare:0.041421, cost_l1:0.089321, cost_ltsv:0.000247
2019-09-09 17:43:18,299 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 300/1000,  L: 2.853117, cost: 0.130971, cost_chiquare:0.041358, cost_l1:0.089393, cost_ltsv:0.000220
2019-09-09 17:43:23,807 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.758569, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.011497
2019-09-09 17:43:28,881 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 50/1000,  L: 2.357948, cost: 0.133600, cost_chiquare:0.041342, cost_l1:0.091280, cost_ltsv:0.001089
2019-09-09 17:43:34,126 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 100/1000,  L: 2.357948, cost: 0.131718, cost_chiquare:0.040630, cost_l1:0.090619, cost_ltsv:0.000488
2019-09-09 17:43:39,419 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 150/1000,  L: 2.853117, cost: 0.131290, cost_chiquare:0.042397, cost_l1:0.088525, cost_ltsv:0.000370
2019-09-09 17:43:44,485 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 200/1000,  L: 1.948717, cost: 0.131147, cost_chiquare:0.041165, cost_l1:0.089656, cost_ltsv:0.000327
2019-09-09 17:43:49,867 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 250/1000,  L: 2.357948, cost: 0.131109, cost_chiquare:0.041430, cost_l1:0.089382, cost_ltsv:0.000298
2019-09-09 17:43:55,522 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.767037, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.020446
2019-09-09 17:44:00,672 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 50/1000,  L: 2.357948, cost: 0.134159, cost_chiquare:0.041921, cost_l1:0.090541, cost_ltsv:0.001769
2019-09-09 17:44:05,826 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.131925, cost_chiquare:0.040454, cost_l1:0.090833, cost_ltsv:0.000657
2019-09-09 17:44:10,978 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.131422, cost_chiquare:0.042570, cost_l1:0.088415, cost_ltsv:0.000436
2019-09-09 17:44:16,432 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 200/1000,  L: 2.853117, cost: 0.131302, cost_chiquare:0.041185, cost_l1:0.089730, cost_ltsv:0.000392
2019-09-09 17:44:21,486 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 250/1000,  L: 2.357948, cost: 0.131289, cost_chiquare:0.041501, cost_l1:0.089420, cost_ltsv:0.000368
2019-09-09 17:44:23,116 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.782096, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.036358
2019-09-09 17:44:27,939 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 50/1000,  L: 2.853117, cost: 0.134990, cost_chiquare:0.042509, cost_l1:0.089711, cost_ltsv:0.002703
2019-09-09 17:44:32,838 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 100/1000,  L: 2.853117, cost: 0.132135, cost_chiquare:0.040045, cost_l1:0.091317, cost_ltsv:0.000785
2019-09-09 17:44:38,086 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 150/1000,  L: 2.593742, cost: 0.131596, cost_chiquare:0.042783, cost_l1:0.088312, cost_ltsv:0.000502
2019-09-09 17:44:43,395 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 200/1000,  L: 2.357948, cost: 0.131536, cost_chiquare:0.041324, cost_l1:0.089730, cost_ltsv:0.000484
2019-09-09 17:44:47,717 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.808873, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.064655
2019-09-09 17:44:52,886 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 50/1000,  L: 2.593742, cost: 0.135989, cost_chiquare:0.044720, cost_l1:0.087673, cost_ltsv:0.003728
2019-09-09 17:44:58,154 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 100/1000,  L: 2.357948, cost: 0.132304, cost_chiquare:0.039675, cost_l1:0.091843, cost_ltsv:0.000791
2019-09-09 17:45:03,366 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 150/1000,  L: 2.593742, cost: 0.131884, cost_chiquare:0.042786, cost_l1:0.088454, cost_ltsv:0.000642
2019-09-09 17:45:08,005 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.856492, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.114975
2019-09-09 17:45:12,393 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 50/1000,  L: 2.593742, cost: 0.136951, cost_chiquare:0.047170, cost_l1:0.085360, cost_ltsv:0.004467
2019-09-09 17:45:16,994 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 100/1000,  L: 2.593742, cost: 0.132584, cost_chiquare:0.039689, cost_l1:0.091971, cost_ltsv:0.000930
2019-09-09 17:45:21,605 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 150/1000,  L: 2.853117, cost: 0.132294, cost_chiquare:0.042638, cost_l1:0.088780, cost_ltsv:0.000871
2019-09-09 17:45:26,124 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 200/1000,  L: 2.593742, cost: 0.132184, cost_chiquare:0.042356, cost_l1:0.089065, cost_ltsv:0.000764
2019-09-09 17:45:28,794 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.941170, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.204457
2019-09-09 17:45:33,802 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 50/1000,  L: 2.593742, cost: 0.137085, cost_chiquare:0.051159, cost_l1:0.082365, cost_ltsv:0.003906
2019-09-09 17:45:38,999 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.133168, cost_chiquare:0.040122, cost_l1:0.091642, cost_ltsv:0.001399
2019-09-09 17:45:44,184 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 150/1000,  L: 2.593742, cost: 0.132722, cost_chiquare:0.042475, cost_l1:0.089140, cost_ltsv:0.001105
2019-09-09 17:45:47,395 INFO solve_without_cv :End of solver w/o CV
2019-09-09 17:46:21,380 INFO tikhonov_result_out :elapsed_time (SVD):33.984682 [sec]
