2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 21:54:22,515 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.000000, cost: 0.029081, cost_chiquare:0.027945, cost_l1:0.001090, cost_ltsv:0.000046
2019-09-05 21:54:27,138 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.331000, cost: 0.029080, cost_chiquare:0.027944, cost_l1:0.001090, cost_ltsv:0.000046
2019-09-05 21:54:31,606 INFO cv :1/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 90.362956
2019-09-05 21:54:32,267 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.562817, cost_chiquare:28.713086, cost_l1:0.005740, cost_ltsv:0.000205
2019-09-05 21:54:36,679 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.143589, cost: 0.032674, cost_chiquare:0.031624, cost_l1:0.001073, cost_ltsv:0.000034
2019-09-05 21:54:41,236 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 1.948717, cost: 0.031846, cost_chiquare:0.030716, cost_l1:0.001106, cost_ltsv:0.000028
2019-09-05 21:54:45,860 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.031494, cost_chiquare:0.030384, cost_l1:0.001078, cost_ltsv:0.000027
2019-09-05 21:54:50,387 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.031363, cost_chiquare:0.030250, cost_l1:0.001085, cost_ltsv:0.000028
2019-09-05 21:54:54,832 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 1.610510, cost: 0.031321, cost_chiquare:0.030204, cost_l1:0.001088, cost_ltsv:0.000029
2019-09-05 21:54:59,499 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.357948, cost: 0.031307, cost_chiquare:0.030192, cost_l1:0.001085, cost_ltsv:0.000030
2019-09-05 21:55:03,982 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 1.948717, cost: 0.031300, cost_chiquare:0.030185, cost_l1:0.001086, cost_ltsv:0.000030
2019-09-05 21:55:08,492 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.771561, cost: 0.031294, cost_chiquare:0.030178, cost_l1:0.001086, cost_ltsv:0.000030
2019-09-05 21:55:12,995 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.610510, cost: 0.031287, cost_chiquare:0.030172, cost_l1:0.001086, cost_ltsv:0.000030
2019-09-05 21:55:17,584 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.948717, cost: 0.031282, cost_chiquare:0.030166, cost_l1:0.001086, cost_ltsv:0.000030
2019-09-05 21:55:22,095 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.771561, cost: 0.031277, cost_chiquare:0.030160, cost_l1:0.001086, cost_ltsv:0.000031
