2019-09-05 23:52:20,325 INFO <module> :Start CV
2019-09-05 23:57:05,785 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.029795, cost_chiquare:0.029765, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-05 23:57:10,327 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.029756, cost_chiquare:0.029726, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:57:14,844 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 300/1000,  L: 1.948717, cost: 0.029745, cost_chiquare:0.029715, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:57:19,424 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.029737, cost_chiquare:0.029706, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:57:23,908 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 1.771561, cost: 0.029727, cost_chiquare:0.029697, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:57:28,519 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 2.143589, cost: 0.029720, cost_chiquare:0.029688, cost_l1:0.000000, cost_ltsv:0.000031
2019-09-05 23:57:32,960 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 1.610510, cost: 0.029713, cost_chiquare:0.029681, cost_l1:0.000000, cost_ltsv:0.000032
2019-09-05 23:57:37,587 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 2.143589, cost: 0.029707, cost_chiquare:0.029673, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-05 23:57:41,855 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 600/1000,  L: 1.000000, cost: 0.029702, cost_chiquare:0.029666, cost_l1:0.000000, cost_ltsv:0.000036
2019-09-05 23:57:46,576 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 650/1000,  L: 1.771561, cost: 0.029698, cost_chiquare:0.029660, cost_l1:0.000000, cost_ltsv:0.000038
2019-09-05 23:57:51,208 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 700/1000,  L: 2.357948, cost: 0.029695, cost_chiquare:0.029654, cost_l1:0.000000, cost_ltsv:0.000041
2019-09-05 23:57:55,352 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 750/1000,  L: 1.771561, cost: 0.029692, cost_chiquare:0.029649, cost_l1:0.000000, cost_ltsv:0.000043
2019-09-05 23:57:59,537 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 800/1000,  L: 1.948717, cost: 0.029690, cost_chiquare:0.029645, cost_l1:0.000000, cost_ltsv:0.000045
2019-09-05 23:58:03,797 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 850/1000,  L: 1.771561, cost: 0.029688, cost_chiquare:0.029641, cost_l1:0.000000, cost_ltsv:0.000047
2019-09-05 23:58:08,243 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.029687, cost_chiquare:0.029638, cost_l1:0.000000, cost_ltsv:0.000049
2019-09-05 23:58:12,792 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 950/1000,  L: 1.610510, cost: 0.029686, cost_chiquare:0.029636, cost_l1:0.000000, cost_ltsv:0.000050
2019-09-05 23:58:17,183 INFO cv :3/10, l1: -9/-6, ltsv: -5/-1. elapsed time: 89.986374
2019-09-05 23:58:17,848 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 54.974492, cost_chiquare:30.993058, cost_l1:0.000001, cost_ltsv:0.000210
