2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:03:46,849 INFO cv :1/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 96.546868
2019-09-05 16:03:47,524 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.600806, cost_chiquare:29.653278, cost_l1:0.005811, cost_ltsv:0.000204
2019-09-05 16:03:51,981 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.031336, cost_chiquare:0.030204, cost_l1:0.001077, cost_ltsv:0.000034
2019-09-05 16:03:56,472 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030432, cost_chiquare:0.029312, cost_l1:0.001100, cost_ltsv:0.000027
2019-09-05 16:04:01,055 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 1.948717, cost: 0.030097, cost_chiquare:0.028992, cost_l1:0.001074, cost_ltsv:0.000027
2019-09-05 16:04:05,858 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.029959, cost_chiquare:0.028844, cost_l1:0.001085, cost_ltsv:0.000028
2019-09-05 16:04:10,547 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.357948, cost: 0.029916, cost_chiquare:0.028802, cost_l1:0.001084, cost_ltsv:0.000030
2019-09-05 16:04:14,973 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 1.771561, cost: 0.029903, cost_chiquare:0.028790, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 16:04:19,698 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.853117, cost: 0.029896, cost_chiquare:0.028781, cost_l1:0.001085, cost_ltsv:0.000030
2019-09-05 16:04:24,229 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.029889, cost_chiquare:0.028774, cost_l1:0.001084, cost_ltsv:0.000030
