2019-09-09 18:16:30,023 INFO <module> :Start solver w/o CV
2019-09-09 18:19:29,174 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.748777, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.001150
2019-09-09 18:19:34,086 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 50/1000,  L: 2.143589, cost: 0.132809, cost_chiquare:0.040579, cost_l1:0.092198, cost_ltsv:0.000123
2019-09-09 18:19:39,318 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 100/1000,  L: 2.357948, cost: 0.131280, cost_chiquare:0.040835, cost_l1:0.090383, cost_ltsv:0.000078
2019-09-09 18:19:44,548 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 150/1000,  L: 2.357948, cost: 0.130943, cost_chiquare:0.042336, cost_l1:0.088537, cost_ltsv:0.000078
2019-09-09 18:19:49,681 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 200/1000,  L: 2.593742, cost: 0.130801, cost_chiquare:0.041035, cost_l1:0.089681, cost_ltsv:0.000085
2019-09-09 18:19:54,726 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 250/1000,  L: 2.143589, cost: 0.130767, cost_chiquare:0.041457, cost_l1:0.089215, cost_ltsv:0.000095
2019-09-09 18:19:59,827 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 300/1000,  L: 1.948717, cost: 0.130757, cost_chiquare:0.041305, cost_l1:0.089353, cost_ltsv:0.000099
2019-09-09 18:20:04,979 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 350/1000,  L: 3.138428, cost: 0.130748, cost_chiquare:0.041412, cost_l1:0.089238, cost_ltsv:0.000098
2019-09-09 18:20:09,692 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 400/1000,  L: 2.143589, cost: 0.130740, cost_chiquare:0.041352, cost_l1:0.089292, cost_ltsv:0.000096
2019-09-09 18:20:14,541 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 450/1000,  L: 2.143589, cost: 0.130736, cost_chiquare:0.041393, cost_l1:0.089250, cost_ltsv:0.000094
2019-09-09 18:20:18,069 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.749624, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.002045
2019-09-09 18:20:22,750 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 50/1000,  L: 2.143589, cost: 0.132905, cost_chiquare:0.040681, cost_l1:0.092133, cost_ltsv:0.000217
2019-09-09 18:20:27,693 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.131333, cost_chiquare:0.040888, cost_l1:0.090340, cost_ltsv:0.000131
2019-09-09 18:20:32,527 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.130992, cost_chiquare:0.042358, cost_l1:0.088515, cost_ltsv:0.000124
2019-09-09 18:20:37,376 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 200/1000,  L: 2.357948, cost: 0.130858, cost_chiquare:0.041020, cost_l1:0.089707, cost_ltsv:0.000134
2019-09-09 18:21:40,056 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 250/1000,  L: 2.853117, cost: 0.130825, cost_chiquare:0.041476, cost_l1:0.089209, cost_ltsv:0.000142
2019-09-09 18:21:51,540 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 300/1000,  L: 1.948717, cost: 0.130812, cost_chiquare:0.041310, cost_l1:0.089363, cost_ltsv:0.000139
2019-09-09 18:21:56,077 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 350/1000,  L: 1.948717, cost: 0.130801, cost_chiquare:0.041384, cost_l1:0.089287, cost_ltsv:0.000129
2019-09-09 18:22:00,650 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 400/1000,  L: 2.357948, cost: 0.130793, cost_chiquare:0.041361, cost_l1:0.089312, cost_ltsv:0.000120
2019-09-09 18:22:05,246 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.751130, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.003636
2019-09-09 18:22:09,688 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 50/1000,  L: 2.593742, cost: 0.133020, cost_chiquare:0.040875, cost_l1:0.091989, cost_ltsv:0.000377
2019-09-09 18:22:14,237 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 100/1000,  L: 2.593742, cost: 0.131415, cost_chiquare:0.040819, cost_l1:0.090411, cost_ltsv:0.000213
2019-09-09 18:22:18,863 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 150/1000,  L: 2.593742, cost: 0.131063, cost_chiquare:0.042368, cost_l1:0.088510, cost_ltsv:0.000191
2019-09-09 18:22:23,572 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 200/1000,  L: 2.593742, cost: 0.130937, cost_chiquare:0.041086, cost_l1:0.089663, cost_ltsv:0.000199
2019-09-09 18:22:28,388 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 250/1000,  L: 2.357948, cost: 0.130900, cost_chiquare:0.041458, cost_l1:0.089246, cost_ltsv:0.000196
2019-09-09 19:22:21,664 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 300/1000,  L: 2.143589, cost: 0.130880, cost_chiquare:0.041326, cost_l1:0.089375, cost_ltsv:0.000179
2019-09-09 19:22:26,640 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 350/1000,  L: 2.143589, cost: 0.130869, cost_chiquare:0.041347, cost_l1:0.089362, cost_ltsv:0.000160
2019-09-09 19:22:31,982 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.753808, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.006466
2019-09-09 19:22:36,140 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 50/1000,  L: 2.357948, cost: 0.133253, cost_chiquare:0.041236, cost_l1:0.091653, cost_ltsv:0.000647
2019-09-09 19:22:40,404 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 100/1000,  L: 2.593742, cost: 0.131544, cost_chiquare:0.040749, cost_l1:0.090482, cost_ltsv:0.000332
2019-09-09 19:22:44,536 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 150/1000,  L: 2.853117, cost: 0.131166, cost_chiquare:0.042379, cost_l1:0.088517, cost_ltsv:0.000278
2019-09-09 19:22:48,791 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 200/1000,  L: 2.357948, cost: 0.131034, cost_chiquare:0.041130, cost_l1:0.089638, cost_ltsv:0.000268
2019-09-09 19:22:52,982 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 250/1000,  L: 2.143589, cost: 0.130990, cost_chiquare:0.041421, cost_l1:0.089321, cost_ltsv:0.000247
2019-09-09 19:22:57,515 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 300/1000,  L: 2.853117, cost: 0.130971, cost_chiquare:0.041358, cost_l1:0.089393, cost_ltsv:0.000220
2019-09-09 19:23:01,978 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.758569, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.011497
2019-09-09 19:23:06,090 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 50/1000,  L: 2.357948, cost: 0.133600, cost_chiquare:0.041342, cost_l1:0.091280, cost_ltsv:0.001089
2019-09-09 19:23:10,792 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 100/1000,  L: 2.357948, cost: 0.131718, cost_chiquare:0.040630, cost_l1:0.090619, cost_ltsv:0.000488
